Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
1979-12-31,1246.0345760885616,1478793.8262201254,20017.921578436595,3478647.179844528,1180970.3431541536,2476527.238491384,184822.08416676166,1934912.3139208227,40452170.18603014,891792.1385804488,27544.99466866562,3374753.6362857036,6424333.144756034,102238.53011765136,9890721.427201036,74641.08547534367,764456.7329007221,20120.577812705036,0.0,24432915.174064454,0.0,113844.38526124766,1775.042752600958,2959.3390897967174,23652.47579983181,5446773.910500256,0.0,482595.51147708134,527177.4735298451,1258776.003957338,13501.149450638755,521297.0307723893,247440.48049414594,373214.5357491095,5164600.890410914,12802537.141193543,0.0,0.0
1980-12-31,1277.7357175873008,1496412.2894681299,19731.668777540508,3381154.443369954,1221121.7773116494,2485316.4656101647,183272.16145902453,1845552.3037057596,39763031.72192872,886379.7886831134,26549.473598916218,3463461.6205801605,6660851.9392823875,108903.36465303927,9959779.963914895,72060.47567578978,728946.3229879233,19706.877288213323,0.0,24513267.02547166,0.0,98557.74714440654,1701.6785270123764,2671.402997414742,24374.951432399102,5588230.267562092,0.0,481303.2529888366,552791.878251192,1116505.3492263628,13880.428885003643,506368.42761253566,245450.06503501063,386803.87951755576,5041659.751412912,11944212.461004635,0.0,0.0
1981-12-31,1306.720903336412,1506351.8722919114,20931.598699214293,3230009.1665010815,1250971.51650796,2460265.7622827063,184526.9271755853,1870854.376372621,38717194.26064072,891426.358272643,26005.121199068617,3572963.718384678,6683753.283339317,100746.80016985335,9758552.052426072,76860.24354269428,772400.8572546495,19261.118467558503,0.0,25407495.857756898,0.0,104010.86958744496,1673.055101893464,2740.3859165555837,25184.31775880357,5734035.261538231,0.0,458800.937603039,532527.9161665804,1176867.560262408,13933.233130119086,520624.72080277506,254115.8969886762,380660.09783725016,5441410.614882049,12549987.940713447,0.0,0.0
1982-12-31,1329.3912661358288,1560696.7152097255,20562.70942280444,3677062.817369944,1227252.7637013907,2530092.123879974,184451.49556516073,2080671.2813460485,43184578.216744564,946588.2874455439,27851.995021504237,3474742.264751657,6543506.423606828,106647.99223431354,10249708.286294365,74962.98440421384,782011.7745365241,20219.797428125283,0.0,24778088.995425202,0.0,111921.6265475396,1873.4537346260386,2916.1184406708358,25727.869246004884,5684462.289771084,0.0,516994.9357893245,548249.9674415606,1314124.1874025364,13831.706912729753,542391.0923634237,256985.11073189156,392150.6635048268,5281241.851534858,13497813.519358533,0.0,0.0
1983-12-31,1342.336932307239,1579985.2233475219,21127.943905070373,3621778.1023554266,1271209.83565596,2529452.5100379568,182335.15188299128,1954179.8830578595,40752277.03716256,871741.3845671053,25957.231815380477,3566286.6561490973,6699651.5898901755,99207.60212215393,10425544.520512482,79023.79675786197,792823.7536991491,19912.48644229099,0.0,25575642.746379256,0.0,106560.70245603622,1815.2179196147533,2735.702078357036,25743.210022656083,5777451.182181042,0.0,504343.5561347422,487603.35559803434,1214406.1940792496,13462.117009642967,546543.5530662175,255986.04657806532,357154.86926920037,5684565.645030895,13016572.127474954,0.0,0.0
1984-12-31,1300.8020788051492,1537337.2232343166,20264.82583165303,3462859.702620694,1212979.9361675002,2595758.4417469185,186064.35441939067,1869016.5094269575,39444306.47468616,887458.0548926225,26615.08267419238,3464861.3222127724,6505655.587985694,102930.09615223252,10331279.397254255,73113.62605998956,748795.6461812704,21014.07694923655,0.0,24768706.13798844,0.0,105403.38145692904,1749.4742567617986,2778.019976945072,24976.595987684046,5629738.230737359,0.0,475280.95168421697,518855.262987452,1176614.231830731,13524.203550445316,524190.8278385103,251363.33411693195,364099.35649848724,5174384.144651775,12427654.377965307,0.0,0.0
1985-12-31,1310.3476061419954,1572690.076389171,21165.80609483568,3618563.078519742,1259162.9963078494,2661302.997914597,184448.68646161756,1945461.249697112,41440891.513269745,881182.4874953445,26120.277872468734,3523103.5274209986,6689839.242633903,104949.28366282738,10808248.130483188,77151.93227168894,777648.1598173782,19504.509588983325,0.0,25301220.607663486,0.0,106724.95475366559,1886.2669432923053,2812.4013144345386,25536.14665086603,5823008.518651035,0.0,484245.9999739089,544903.8130551057,1185201.8752213179,13669.378740246362,548225.4998704932,261168.75504637175,380891.78714241803,5405521.233482243,12570698.220260743,0.0,0.0
1986-12-31,1276.6237119492846,1594140.9118445578,20418.680586593244,3640675.335105707,1259891.3617832803,2577961.9454042264,185237.8781755092,1971871.3921186307,41042659.37662071,907755.4370466808,27230.619338400116,3452602.20398724,6558037.028957539,102174.77394839894,10276599.606192412,75389.36120485066,804824.3501530944,20508.973406759313,0.0,25023318.236908775,0.0,108365.90942296255,1806.541181458119,2829.5609506789556,24861.959504488685,5581601.056011104,0.0,509013.0882497037,539648.1104169323,1255852.0588109526,13690.708813665875,552363.7858198239,254341.0117753466,381357.93637999124,5425883.126367745,13527622.48058737,0.0,0.0
1987-12-31,1288.9931227935363,1519418.2370591965,20687.235224918302,3515251.292292522,1221625.7564539514,2512800.0108986413,183926.50585608708,1874181.6337017696,39410354.47327795,877025.056505828,27357.369902178172,3440166.2714058966,6452729.096936159,100105.42830645053,10087760.427898567,76151.15557862006,767292.3631612229,19619.01820318235,0.0,25276480.379660487,0.0,114216.75738848693,1797.3179955186013,2951.6996964377263,24868.30951071667,5567669.198572464,0.0,486856.86338245915,531966.1662527518,1213447.9007306567,13168.069094780938,531420.1260970363,253088.35024959876,367868.40683184325,5405441.429521877,12822382.472540226,0.0,0.0
1988-12-31,1337.3356485364368,1545518.0021634637,21113.887009944163,3391745.2867189483,1249746.268784542,2456835.0762111982,182527.0905189971,1945759.0353636579,39733144.8980098,892510.3874995221,26609.07182661449,3566566.039507902,6606220.670647975,104274.89196546834,10127165.468193376,77364.12078289625,786674.6946361014,20064.486502810745,0.0,25622174.842560872,0.0,109464.56034109661,1759.6340006136497,2854.9446059833526,25776.204385832396,5910736.19811895,0.0,467511.66069273814,546179.4293451507,1225435.972356787,13657.971921663955,532390.1829780615,256545.72824649143,380790.0499452473,5419058.854869376,12902304.80559851,0.0,0.0
